Age,Gender,Annual Income,Monthly Income,Employment Status,Years of Employment,Education,Marital Status,Loan Amount,Loan Purpose,Interest Rate,Loan Term,Credit Score,Debt-to-Income Ratio,Number of Existing Loans,Number of Credit Cards,Previous Loan Defaults,Savings Balance,Monthly Expenses,Property Ownership,Dependents,Risk Level
69,Male,16100.0,1341.67,Retired,19.0,High School,Single,3100.0,Home Improvement,8.72,36,793.0,0.14,0,4,0,5100.0,862.57,Mortgage,0,Low Risk
47,Male,36500.0,3041.67,Retired,15.0,Master,Married,3600.0,Debt Consolidation,14.66,24,604.0,0.14,1,1,1,10400.0,2073.09,Own,2,Medium Risk
29,Male,126400.0,10533.33,Employed,1.7,Bachelor,Married,45400.0,Debt Consolidation,18.53,12,531.0,0.07,0,2,0,6000.0,4128.51,Mortgage,1,Medium Risk
67,Male,51700.0,4308.33,Retired,28.0,Bachelor,Married,10400.0,Debt Consolidation,14.38,36,622.0,0.2,2,2,0,4900.0,2150.31,Rent,0,Medium Risk
52,Male,74100.0,6175.0,Employed,,Bachelor,Widowed,25800.0,Home Improvement,19.86,60,627.0,0.15,1,7,1,5100.0,3907.09,Mortgage,1,High Risk
72,Female,11700.0,975.0,Retired,16.0,Associate,Married,2900.0,Education,22.63,36,574.0,0.7,2,3,0,2900.0,1162.95,Rent,1,High Risk
66,Female,35400.0,2950.0,Retired,35.0,Bachelor,Married,2500.0,Business,14.26,12,611.0,0.23,2,2,3,500.0,2308.01,Rent,0,High Risk
71,Female,17600.0,1466.67,Retired,37.0,Associate,Divorced,2600.0,Education,12.87,60,707.0,0.17,0,3,1,4600.0,960.79,Rent,0,Medium Risk
38,Female,147400.0,12283.33,Employed,0.9,Bachelor,Single,14600.0,Auto,13.31,24,716.0,0.12,1,5,0,42800.0,3441.35,Mortgage,0,Low Risk
74,Male,47000.0,3916.67,Retired,19.0,Bachelor,Single,15700.0,Auto,8.98,24,768.0,0.21,1,5,0,21100.0,2091.85,Mortgage,0,Low Risk
72,Female,20100.0,1675.0,Retired,43.0,High School,Single,2400.0,Personal,16.69,60,666.0,0.25,0,6,0,1200.0,1226.07,Rent,0,Medium Risk
62,Male,59600.0,4966.67,Employed,27.7,Associate,Single,3300.0,Home Improvement,15.74,24,610.0,0.18,1,5,0,6200.0,2854.29,Mortgage,0,Medium Risk
29,Male,57500.0,4791.67,Employed,3.1,Associate,Divorced,5400.0,Debt Consolidation,21.3,36,475.0,0.18,1,1,0,300.0,2922.86,Mortgage,2,High Risk
27,Male,50100.0,4175.0,Employed,1.8,High School,Married,4000.0,Auto,22.51,36,573.0,0.23,2,4,2,4700.0,2639.21,Own,2,High Risk
49,Male,173300.0,14441.67,Employed,12.1,Bachelor,Single,20600.0,Home Improvement,9.91,24,684.0,0.07,2,1,0,24200.0,7169.86,Mortgage,1,Low Risk
58,Female,45000.0,3750.0,Employed,7.7,Associate,Married,7200.0,Auto,16.85,24,592.0,0.12,0,2,0,1500.0,1906.33,Rent,0,Medium Risk
74,Female,137300.0,11441.67,Employed,40.3,Master,Single,2300.0,Home Improvement,13.84,24,625.0,0.13,1,3,0,68100.0,4578.98,Mortgage,0,Low Risk
75,Male,27200.0,2266.67,Retired,21.0,Associate,Divorced,7600.0,Education,6.58,60,850.0,0.29,1,3,0,22800.0,1342.2,Mortgage,0,Low Risk
51,Female,151900.0,12658.33,Employed,15.8,Bachelor,Married,16800.0,Auto,7.58,24,790.0,0.14,2,6,0,32100.0,4950.5,Mortgage,4,Low Risk
58,Female,55400.0,4616.67,Employed,29.1,High School,Single,6800.0,Debt Consolidation,7.15,60,781.0,0.19,2,9,0,28100.0,2362.06,Mortgage,0,Low Risk
46,Male,71200.0,5933.33,Employed,14.7,High School,Married,5100.0,Home Improvement,11.08,36,687.0,0.12,0,4,0,19400.0,2597.98,Mortgage,1,Low Risk
28,Male,11600.0,966.67,Unemployed,0.0,Bachelor,Divorced,2000.0,Auto,23.13,36,499.0,0.33,1,1,1,1000.0,2794.4,Mortgage,4,High Risk
49,Male,122400.0,10200.0,Employed,24.6,Bachelor,Single,11200.0,Education,11.6,24,739.0,0.12,1,5,0,25300.0,4547.4,Own,4,Low Risk
46,Male,59800.0,4983.33,Employed,13.1,High School,Married,27200.0,Debt Consolidation,10.41,60,,0.19,1,3,0,24600.0,3395.86,Own,3,Low Risk
44,Male,56700.0,4725.0,Employed,22.7,High School,Single,3300.0,Education,9.84,60,696.0,0.13,0,7,0,32500.0,3063.45,Mortgage,2,Low Risk
27,Male,167100.0,13925.0,Employed,2.8,Master,Single,7900.0,Debt Consolidation,15.72,24,617.0,0.12,2,3,1,7700.0,5607.54,Rent,1,High Risk
36,Male,12300.0,1025.0,Unemployed,0.0,Bachelor,Single,4700.0,Business,21.3,36,553.0,0.7,4,3,1,900.0,1949.75,Rent,2,High Risk
31,Male,68800.0,5733.33,Employed,2.7,Bachelor,Married,12200.0,Business,19.08,36,554.0,0.16,1,5,0,4100.0,2220.1,Own,1,Medium Risk
22,Male,121100.0,10091.67,Employed,3.3,Bachelor,Single,30600.0,Debt Consolidation,18.34,12,669.0,0.05,0,1,0,3700.0,3092.96,Mortgage,0,Medium Risk
29,Female,86700.0,7225.0,Employed,9.0,Bachelor,Single,10000.0,Education,11.81,12,730.0,0.11,0,4,0,10600.0,3549.3,Rent,1,Low Risk
52,Female,12800.0,1066.67,Retired,15.0,High School,Married,3100.0,Home Improvement,17.69,24,632.0,0.23,0,5,0,900.0,1374.29,Mortgage,2,Medium Risk
68,Male,104800.0,8733.33,Retired,18.0,Doctorate,Married,26500.0,Home Improvement,12.08,24,708.0,0.05,0,2,0,8400.0,3465.82,Own,0,Low Risk
39,Female,6300.0,525.0,Unemployed,0.0,Bachelor,Married,3500.0,Personal,14.32,36,603.0,0.7,1,7,0,500.0,1539.68,Mortgage,1,High Risk
29,Female,125300.0,10441.67,Employed,8.5,Doctorate,Widowed,58100.0,Education,9.27,36,703.0,0.09,0,2,0,7000.0,5266.43,Mortgage,2,Low Risk
20,Male,10800.0,900.0,Unemployed,0.0,Master,Married,1400.0,Debt Consolidation,18.12,36,383.0,0.09,0,0,3,100.0,926.94,Rent,0,High Risk
40,Female,51800.0,4316.67,Employed,9.7,High School,Married,16500.0,Debt Consolidation,20.92,60,575.0,,1,7,0,2200.0,2531.27,Mortgage,2,Medium Risk
66,Female,38200.0,3183.33,Retired,18.0,Bachelor,Married,7600.0,Debt Consolidation,9.71,36,738.0,0.16,1,5,0,8900.0,2053.84,Mortgage,0,Low Risk
28,Male,54700.0,4558.33,Employed,8.6,High School,Married,7800.0,Auto,13.42,12,594.0,0.13,1,1,0,5400.0,1834.04,Rent,1,Medium Risk
49,Male,14400.0,1200.0,Unemployed,0.0,Bachelor,Married,2100.0,Auto,26.34,60,538.0,0.37,1,2,2,0.0,706.5,Mortgage,0,High Risk
55,Male,40000.0,3333.33,Employed,2.8,High School,Married,20200.0,Personal,18.84,60,666.0,0.32,3,6,1,18600.0,2116.63,Rent,1,High Risk
73,Female,24900.0,2075.0,Retired,36.0,Master,Widowed,4900.0,Debt Consolidation,22.39,60,549.0,0.23,1,2,2,1000.0,1379.26,Mortgage,0,High Risk
23,Male,23400.0,1950.0,Employed,1.4,High School,Single,8400.0,Home Improvement,13.63,36,605.0,0.15,0,6,2,400.0,1440.64,Mortgage,0,High Risk
31,Male,83100.0,6925.0,Employed,6.6,Master,Single,9000.0,Education,20.27,60,542.0,0.13,0,6,1,300.0,3157.0,Mortgage,0,High Risk
45,Female,161700.0,13475.0,Employed,19.1,Bachelor,Married,10300.0,Debt Consolidation,10.06,36,705.0,0.08,1,2,0,,5396.0,Own,2,Low Risk
48,Non-Binary,249000.0,20750.0,Employed,27.4,Master,Married,6800.0,Debt Consolidation,9.77,36,695.0,0.06,1,4,0,27200.0,7629.73,Own,2,Low Risk
30,Male,98800.0,8233.33,Employed,11.5,Master,Single,52600.0,Business,10.92,36,703.0,0.11,1,4,0,18200.0,2643.67,Mortgage,0,Low Risk
29,Female,139600.0,11633.33,Employed,5.1,Bachelor,Married,2900.0,Debt Consolidation,9.32,12,729.0,0.05,0,5,0,38500.0,4051.82,Mortgage,1,Low Risk
37,Male,49200.0,4100.0,Employed,8.2,High School,Single,12500.0,Business,15.99,24,601.0,0.13,0,4,0,2500.0,3168.61,Rent,3,Medium Risk
45,Female,15000.0,1250.0,Unemployed,0.0,Bachelor,Married,3500.0,Education,14.13,36,591.0,0.12,0,2,1,300.0,2529.89,Mortgage,3,High Risk
71,Female,26400.0,2200.0,Retired,27.0,Associate,Divorced,3400.0,Home Improvement,13.06,36,598.0,0.17,0,7,0,8700.0,1584.88,Rent,0,Medium Risk
50,Female,60500.0,5041.67,Employed,16.1,Bachelor,Single,17100.0,Business,19.05,24,578.0,0.07,0,1,0,100.0,2455.94,Rent,1,High Risk
19,Female,73700.0,6141.67,Self-Employed,0.6,Master,Single,8600.0,Debt Consolidation,12.99,60,694.0,0.16,1,7,0,200.0,2918.81,Rent,0,High Risk
68,Female,10800.0,900.0,Retired,40.0,High School,Single,4200.0,Debt Consolidation,17.84,36,606.0,0.18,0,3,0,1100.0,893.21,Rent,0,Medium Risk
54,Female,72200.0,6016.67,Employed,24.9,Bachelor,Single,7600.0,Personal,7.8,60,778.0,0.21,2,7,0,14500.0,2319.61,Mortgage,0,Low Risk
27,Male,90500.0,7541.67,Employed,6.6,Bachelor,Married,6700.0,Home Improvement,13.35,36,724.0,0.06,0,5,0,49100.0,4476.17,Mortgage,2,Low Risk
33,Male,308200.0,25683.33,Employed,6.8,Doctorate,Single,115300.0,Education,13.38,24,663.0,0.06,0,5,3,51800.0,6922.28,Rent,0,High Risk
51,Male,139800.0,11650.0,Employed,21.1,Bachelor,Married,23700.0,Home Improvement,21.47,24,560.0,0.16,2,4,0,5700.0,3958.43,Own,0,Medium Risk
52,Female,67600.0,5633.33,Employed,9.5,High School,Married,6800.0,Business,12.67,36,732.0,0.1,0,5,0,4700.0,3093.46,Mortgage,0,Low Risk
23,Male,91100.0,7591.67,Self-Employed,2.0,Bachelor,Married,33000.0,Home Improvement,20.62,36,514.0,0.1,0,3,1,2500.0,3993.23,Own,0,High Risk
50,Female,64200.0,5350.0,Employed,8.2,High School,Married,5900.0,Debt Consolidation,5.75,12,824.0,0.19,2,6,0,15000.0,2093.16,Rent,0,Low Risk
32,Female,14700.0,1225.0,Unemployed,0.0,Bachelor,Married,3100.0,Auto,21.05,36,505.0,0.32,0,5,1,100.0,2228.04,Rent,2,High Risk
59,Female,316700.0,26391.67,Employed,16.9,Doctorate,Married,115000.0,Debt Consolidation,7.68,24,741.0,0.08,1,5,0,49600.0,10324.99,Own,0,Low Risk
49,Female,90700.0,7558.33,Employed,4.2,Bachelor,Married,7700.0,Debt Consolidation,13.0,60,736.0,0.1,1,1,0,13000.0,4028.73,Own,3,Low Risk
62,Female,19600.0,1633.33,Employed,38.7,High School,Single,3200.0,Auto,16.65,60,589.0,0.13,0,4,0,1500.0,1134.9,Mortgage,0,Medium Risk
71,Male,26600.0,2216.67,Retired,26.0,Associate,Single,3600.0,Auto,13.86,36,661.0,0.33,1,4,0,4100.0,1787.51,Own,1,Medium Risk
69,Male,71500.0,5958.33,Retired,18.0,Master,Married,24900.0,Auto,14.87,36,633.0,0.2,2,2,0,8400.0,3102.55,Rent,0,Medium Risk
60,Male,138700.0,11558.33,Self-Employed,34.3,Bachelor,Married,16900.0,Business,9.56,12,698.0,0.14,2,4,0,1600.0,4198.12,Mortgage,0,Medium Risk
23,Female,9600.0,800.0,Unemployed,0.0,Bachelor,Married,3200.0,Personal,20.27,24,549.0,0.45,1,1,1,600.0,1255.18,Rent,0,High Risk
40,Female,32300.0,2691.67,Employed,12.7,High School,Married,5700.0,Debt Consolidation,23.75,24,537.0,0.15,1,1,0,0.0,1377.55,Mortgage,0,High Risk
75,Female,12600.0,1050.0,Retired,34.0,High School,Single,2100.0,Home Improvement,13.43,24,710.0,0.63,2,1,0,400.0,1022.76,Mortgage,0,Medium Risk
28,Non-Binary,122500.0,10208.33,Employed,1.4,Bachelor,Single,39800.0,Business,14.91,36,623.0,0.06,0,5,0,2700.0,5659.9,Rent,2,Medium Risk
25,Male,49100.0,4091.67,Self-Employed,1.5,Bachelor,Single,6500.0,Auto,11.27,60,684.0,0.05,0,4,0,1600.0,1719.81,Rent,1,Medium Risk
51,Female,125100.0,10425.0,Employed,1.8,Bachelor,Single,2400.0,Auto,12.21,36,697.0,0.15,3,3,0,16700.0,5155.32,Own,0,Low Risk
46,Male,177600.0,14800.0,Employed,4.0,Master,Married,30600.0,Personal,12.8,24,724.0,0.07,0,7,0,41200.0,6530.08,Mortgage,0,Low Risk
21,Male,11600.0,966.67,Unemployed,0.0,High School,Divorced,4600.0,Home Improvement,16.01,36,601.0,0.6,1,6,0,800.0,866.62,Rent,0,High Risk
25,Male,111000.0,9250.0,Employed,1.6,Bachelor,Single,22600.0,Education,11.53,36,710.0,0.07,0,2,0,19400.0,3701.79,Mortgage,3,Low Risk
45,Female,82600.0,6883.33,Employed,25.6,Bachelor,Married,2200.0,Education,9.43,36,745.0,0.14,1,7,1,11800.0,3553.22,Mortgage,2,Low Risk
41,Male,62900.0,5241.67,Employed,14.4,Associate,Married,13200.0,Business,7.22,12,745.0,0.19,1,7,0,8800.0,3550.14,Own,2,Low Risk
35,Female,92900.0,7741.67,Employed,15.5,Bachelor,Married,36700.0,Debt Consolidation,24.91,24,567.0,0.1,0,7,1,17100.0,2959.08,Mortgage,1,High Risk
19,Female,12400.0,1033.33,Unemployed,0.0,High School,Married,3800.0,Education,24.56,24,568.0,0.51,1,1,0,300.0,960.11,Rent,0,High Risk
26,Male,41800.0,3483.33,Employed,1.4,High School,Married,5400.0,Debt Consolidation,17.67,12,634.0,0.2,0,7,0,100.0,1682.81,Rent,0,High Risk
41,Male,56900.0,4741.67,Employed,,High School,Widowed,21000.0,Debt Consolidation,12.87,12,717.0,0.26,2,5,0,6300.0,1779.36,Rent,0,Medium Risk
38,Male,130000.0,10833.33,Employed,12.0,Bachelor,Single,32500.0,Education,17.24,12,591.0,0.17,5,1,1,7700.0,5633.78,Mortgage,0,High Risk
30,Male,62700.0,5225.0,Self-Employed,7.4,Bachelor,Married,29600.0,Debt Consolidation,24.07,36,568.0,0.08,0,4,0,17700.0,2954.96,Own,1,Medium Risk
26,Female,75900.0,6325.0,Employed,1.7,Bachelor,Single,26100.0,Education,16.4,12,586.0,0.1,1,3,3,25700.0,2590.2,Rent,1,High Risk
56,Male,104500.0,8708.33,Employed,16.4,Master,Divorced,8700.0,Personal,3.67,12,,0.07,0,3,0,18700.0,4100.26,Own,0,Low Risk
28,Male,110900.0,9241.67,Employed,6.0,Bachelor,Single,40800.0,Business,17.01,12,,0.07,0,7,0,11000.0,3399.93,Mortgage,1,Medium Risk
37,Female,41200.0,3433.33,Retired,15.0,Bachelor,Married,18700.0,Home Improvement,18.37,24,617.0,0.17,1,4,0,1100.0,2144.07,Rent,0,Medium Risk
60,Male,111800.0,9316.67,Employed,41.8,Bachelor,Single,11400.0,Debt Consolidation,10.1,24,737.0,0.12,1,6,1,29500.0,4407.22,Mortgage,0,Medium Risk
71,Male,15800.0,1316.67,Retired,30.0,High School,Married,4800.0,Education,10.08,36,729.0,0.32,1,3,0,2100.0,1224.6,Rent,0,Medium Risk
33,Male,53300.0,4441.67,Self-Employed,6.6,Bachelor,Single,14600.0,Education,19.62,60,570.0,0.22,1,5,3,2600.0,2537.84,Mortgage,1,High Risk
50,Female,139400.0,11616.67,Self-Employed,16.4,Bachelor,Divorced,43900.0,Debt Consolidation,10.1,36,676.0,0.05,0,2,0,18900.0,6423.1,Own,2,Low Risk
48,Female,10300.0,858.33,Unemployed,0.0,Bachelor,Single,3900.0,Home Improvement,24.25,36,533.0,0.57,1,3,1,500.0,1074.32,Mortgage,1,High Risk
43,Male,127800.0,10650.0,Self-Employed,15.5,Bachelor,Married,28600.0,Debt Consolidation,9.27,36,756.0,0.08,1,4,0,15900.0,3723.9,Own,2,Low Risk
47,Male,88200.0,7350.0,Employed,3.5,Master,Single,21200.0,Education,6.64,36,770.0,0.19,1,9,0,41700.0,3879.62,Rent,4,Low Risk
58,Male,109400.0,9116.67,Self-Employed,29.2,Bachelor,Single,29900.0,Auto,12.43,60,678.0,0.12,0,5,2,8800.0,3165.98,Own,0,High Risk
50,Female,121900.0,10158.33,Employed,22.4,Master,Single,47600.0,Business,24.96,36,573.0,0.14,2,2,1,71400.0,3772.06,Mortgage,1,High Risk
66,Female,37300.0,3108.33,Retired,43.0,Bachelor,Married,9700.0,Debt Consolidation,18.47,60,601.0,0.21,0,7,0,9400.0,1729.9,Rent,0,High Risk
67,Male,22900.0,1908.33,Retired,19.0,Associate,Single,2400.0,Debt Consolidation,7.54,24,747.0,0.15,1,1,0,1500.0,866.15,Mortgage,0,Low Risk
72,Female,42100.0,3508.33,Retired,33.0,Bachelor,Single,12600.0,Debt Consolidation,12.32,24,706.0,0.11,0,6,0,7200.0,2057.36,Rent,2,Medium Risk
23,Male,63800.0,5316.67,Employed,3.6,Bachelor,Single,3200.0,Debt Consolidation,17.36,24,640.0,0.05,0,2,0,8300.0,3350.19,Rent,0,Medium Risk
47,Non-Binary,69200.0,5766.67,Self-Employed,1.0,High School,Single,4300.0,Auto,9.03,24,749.0,0.05,0,2,0,13600.0,2418.25,Mortgage,0,Low Risk
55,Male,140000.0,11666.67,Employed,15.8,Master,Single,16500.0,Education,16.25,24,659.0,0.14,3,7,0,4800.0,6453.5,Mortgage,2,Medium Risk
53,Male,82500.0,6875.0,Employed,27.8,Bachelor,Single,29300.0,Personal,13.18,36,717.0,0.13,0,7,0,16000.0,2459.42,Mortgage,0,Low Risk
59,Female,150200.0,12516.67,Employed,25.3,Bachelor,Married,5600.0,Personal,16.7,12,665.0,0.09,0,3,0,13400.0,6519.66,Own,0,Low Risk
65,Male,39600.0,3300.0,Employed,1.8,Associate,Married,10500.0,Education,12.61,36,721.0,0.23,1,5,2,4500.0,2233.46,Own,0,High Risk
60,Female,128500.0,10708.33,Employed,18.3,Master,Widowed,39200.0,Business,9.67,36,703.0,0.06,1,3,0,23100.0,5239.18,Mortgage,0,Medium Risk
49,Female,161200.0,13433.33,Employed,11.3,Master,Married,6400.0,Business,8.19,36,752.0,,0,9,0,21600.0,3859.02,Mortgage,0,Low Risk
67,Male,104300.0,8691.67,Employed,41.3,Master,Single,26300.0,Business,8.92,24,778.0,0.12,1,7,0,25100.0,4570.07,Own,0,Low Risk
55,Female,141900.0,11825.0,Employed,23.2,Bachelor,Single,43400.0,Home Improvement,12.96,24,716.0,0.07,1,4,0,9200.0,6238.1,Mortgage,3,Low Risk
65,Male,49900.0,4158.33,Employed,26.7,Associate,Divorced,6800.0,Debt Consolidation,10.07,36,738.0,0.18,1,4,0,7900.0,2365.92,Mortgage,0,Low Risk
56,Male,305600.0,25466.67,Employed,15.2,Doctorate,Married,90600.0,Debt Consolidation,6.97,12,754.0,0.1,1,7,0,133200.0,11251.74,Rent,0,Low Risk
52,Female,165500.0,13791.67,Employed,6.3,Bachelor,Widowed,41000.0,Debt Consolidation,9.53,36,740.0,0.05,0,2,0,1900.0,4578.54,Own,0,Low Risk
42,Male,93000.0,7750.0,Employed,23.2,Bachelor,Single,9200.0,Auto,12.16,36,692.0,0.13,0,4,0,14100.0,5190.34,Rent,3,Low Risk
34,Female,6200.0,516.67,Unemployed,0.0,Bachelor,Single,4000.0,Debt Consolidation,17.56,60,,0.49,0,7,0,700.0,1055.69,Mortgage,1,High Risk
66,Female,21300.0,1775.0,Retired,22.0,Associate,Married,4100.0,Education,21.58,36,576.0,0.13,0,4,0,1300.0,1464.71,Mortgage,0,High Risk
37,Female,137700.0,11475.0,Employed,0.9,Bachelor,Single,13700.0,Debt Consolidation,10.75,24,693.0,0.12,1,5,0,16000.0,4429.44,Rent,2,Low Risk
62,Non-Binary,101600.0,8466.67,Self-Employed,36.0,Bachelor,Single,7400.0,Debt Consolidation,7.15,12,773.0,0.14,2,4,0,24600.0,2197.78,Own,0,Low Risk
28,Male,98000.0,8166.67,Employed,5.7,Bachelor,Married,3000.0,Debt Consolidation,23.06,60,541.0,0.14,1,7,0,4400.0,4139.66,Mortgage,0,Medium Risk
39,Female,56500.0,4708.33,Employed,19.4,Bachelor,Married,10600.0,Personal,10.9,36,698.0,0.15,0,6,0,700.0,2406.88,Rent,2,Medium Risk
43,Female,168900.0,14075.0,Self-Employed,5.4,Bachelor,Single,13900.0,Auto,18.38,24,596.0,0.15,5,6,0,8800.0,6474.41,Own,4,Medium Risk
32,Male,71300.0,5941.67,Employed,2.7,Associate,Divorced,9700.0,Business,17.11,36,649.0,0.1,0,3,0,18400.0,3076.11,Mortgage,2,Low Risk
69,Male,109400.0,9116.67,Employed,30.2,Bachelor,Single,16200.0,Debt Consolidation,10.98,36,714.0,0.14,0,7,0,26400.0,5141.55,Rent,1,Low Risk
46,Non-Binary,37000.0,3083.33,Self-Employed,2.3,High School,Married,5300.0,Education,22.48,36,557.0,0.21,1,2,2,17000.0,2236.54,Rent,2,High Risk
